"Genotype" "Trial" "Yield"
"57" "G057" "TR01" 43.3996849487071
"58" "G058" "TR01" 39.8437501906187
"59" "G059" "TR01" 37.451285273141
"60" "G060" "TR01" 62.4759957984934
"61" "G061" "TR01" 43.8015340857429
"62" "G062" "TR01" 67.659858386517
"63" "G063" "TR01" 39.4111841694962
"64" "G064" "TR01" 39.0624755220476
"65" "G065" "TR01" 58.8881301171249
"66" "G066" "TR01" 45.0715712722557
"67" "G067" "TR01" 28.5354152371327
"68" "G068" "TR01" 41.509547593914
"69" "G069" "TR01" 48.5770574602396
"70" "G070" "TR01" 46.7960241415159
"71" "G071" "TR01" 49.5666098687359
"72" "G072" "TR01" 29.4651073413507
"73" "G073" "TR01" 61.1241974735664
"74" "G074" "TR01" 54.100254433587
"75" "G075" "TR01" 46.5215532270389
"76" "G076" "TR01" 26.1929771593078
"77" "G077" "TR01" 56.3796039715204
"78" "G078" "TR01" 33.410051998356
"79" "G079" "TR01" 36.4767206281986
"80" "G080" "TR01" 50.072078454719
"81" "G081" "TR01" 24.0260262412765
"82" "G082" "TR01" 60.5371576385497
"83" "G083" "TR01" 54.3533487039039
"84" "G084" "TR01" 43.6067089701701
"85" "G085" "TR01" 43.7993728853687
"86" "G086" "TR01" 47.8012396883108
"87" "G087" "TR01" 54.2735468274179
"88" "G088" "TR01" 64.3769127045449
"89" "G089" "TR01" 46.7398474866746
"90" "G090" "TR01" 37.1343963455019
"91" "G091" "TR01" 23.6967880869604
"92" "G092" "TR01" 44.2036934275937
"93" "G093" "TR01" 44.4632674922565
"94" "G094" "TR01" 36.9555325821062
"95" "G095" "TR01" 53.8942067995975
"96" "G096" "TR01" 32.1802428790289
"97" "G097" "TR01" 46.9922818021505
"98" "G098" "TR01" 24.4858344203596
"99" "G099" "TR01" 47.6417368771875
"100" "G100" "TR01" 54.4878364423903
"101" "G001" "TR02" 57.1927864162459
"102" "G002" "TR02" 29.9153709881674
"103" "G003" "TR02" 41.5038357142317
"104" "G004" "TR02" 29.809077046406
"105" "G005" "TR02" 31.5345155834001
"106" "G006" "TR02" 21.9836019674414
"107" "G007" "TR02" 21.4548030744453
"108" "G008" "TR02" 48.6196534073838
"109" "G009" "TR02" 40.5318972733753
"110" "G010" "TR02" 51.4702580734744
"111" "G011" "TR02" 40.1946404889377
"112" "G012" "TR02" 41.3152799426439
"113" "G013" "TR02" 33.7681128330074
"114" "G014" "TR02" 48.5378615000698
"115" "G015" "TR02" 54.4000630109277
"116" "G016" "TR02" 35.5501910951175
"117" "G017" "TR02" 40.0625203261937
"118" "G018" "TR02" 26.4201423860394
"119" "G019" "TR02" 30.4114224342036
"120" "G020" "TR02" 35.2397026747819
"121" "G021" "TR02" 31.6151805156275
"122" "G022" "TR02" 45.6969381780097
"123" "G023" "TR02" 38.5551470622827
"124" "G024" "TR02" 43.736109131543
"125" "G025" "TR02" 45.0663076092488
"126" "G026" "TR02" 38.0274105539852
"127" "G027" "TR02" 37.9668715262676
"128" "G028" "TR02" 49.9650723516962
"129" "G029" "TR02" 35.6835758180904
"130" "G030" "TR02" 38.9292632653565
"131" "G031" "TR02" 39.6151502889338
"132" "G032" "TR02" 30.3842827073467
"133" "G033" "TR02" 59.2733281318827
"134" "G034" "TR02" 46.2149621034969
"135" "G035" "TR02" 40.8829342848923
"136" "G036" "TR02" 42.7344779809041
"137" "G037" "TR02" 35.0184868708156
"138" "G038" "TR02" 51.7763663950707
"139" "G039" "TR02" 26.4406147872411
"140" "G040" "TR02" 16.0264909334906
"141" "G041" "TR02" 42.9476518117397
"142" "G042" "TR02" 40.6651044924511
"143" "G043" "TR02" 31.6811784824512
"144" "G044" "TR02" 38.1733629295922
"145" "G045" "TR02" 29.6853184972898
"146" "G046" "TR02" 36.977119520394
"147" "G047" "TR02" 29.8167759167099
"148" "G048" "TR02" 22.372009080969
"149" "G049" "TR02" 25.4344975757763
"150" "G050" "TR02" 44.2185221502419
"151" "G051" "TR02" 24.5683660250427
"152" "G052" "TR02" 30.3973058207673
"153" "G053" "TR02" 40.7947735373675
"154" "G054" "TR02" 44.0594599213116
"155" "G055" "TR02" 45.941235464648
"156" "G056" "TR02" 30.4978308750806
"157" "G057" "TR02" 27.6990312245617
"158" "G058" "TR02" 24.4168383548931
"159" "G059" "TR02" 41.3147042845101
"160" "G060" "TR02" 17.0887205187439
"161" "G061" "TR02" 39.4047913512253
"162" "G062" "TR02" 44.8782236345451
"163" "G063" "TR02" 37.2092191533232
"164" "G064" "TR02" 43.9774495357902
"165" "G065" "TR02" 55.7914473119032
"166" "G066" "TR02" 36.5380083651008
"167" "G067" "TR02" 47.9469074912172
"168" "G068" "TR02" 57.5572326710137
"169" "G069" "TR02" 47.8922263306701
"170" "G070" "TR02" 35.8874547043572
"171" "G071" "TR02" 45.802293633715
"172" "G072" "TR02" 32.3960485830868
"173" "G073" "TR02" 50.8306332044458
"174" "G074" "TR02" 57.2654065128016
"175" "G075" "TR02" 47.1835806645476
"176" "G076" "TR02" 22.5814281159003
"177" "G077" "TR02" 40.2363330440218
"178" "G078" "TR02" 57.5295970050861
"179" "G079" "TR02" 28.9262957458525
"180" "G080" "TR02" 30.747233700513
"181" "G081" "TR02" 24.0096328578972
"182" "G082" "TR02" 46.4647605853897
"183" "G083" "TR02" 45.2634868541854
"184" "G084" "TR02" 49.717413909289
"185" "G085" "TR02" 32.7413185959859
"186" "G086" "TR02" 43.021350239066
"187" "G087" "TR02" 46.0912881817374
"188" "G088" "TR02" 48.6585319038217
"189" "G089" "TR02" 42.4289371747436
"190" "G090" "TR02" 46.8128154309967
"191" "G091" "TR02" 19.3870975914718
"192" "G092" "TR02" 43.8341241294697
"193" "G093" "TR02" 41.5066157372708
"194" "G094" "TR02" 28.7984607738305
"195" "G095" "TR02" 37.3642286583074
"196" "G096" "TR02" 62.1447784472337
"197" "G097" "TR02" 56.4395600872449
"198" "G098" "TR02" 32.9848536549799
"199" "G099" "TR02" 38.3989027748898
"200" "G100" "TR02" 33.3377299269325
"201" "G001" "TR03" 55.8769689615062
"202" "G002" "TR03" 44.1287495824957
"203" "G003" "TR03" 43.4042633407692
"204" "G004" "TR03" 32.1084105483751
"205" "G005" "TR03" 27.4373940446088
"206" "G006" "TR03" 17.8387401427922
"207" "G007" "TR03" 33.6993126868767
"208" "G008" "TR03" 52.9784923862207
"209" "G009" "TR03" 34.3440028218393
"210" "G010" "TR03" 43.1181203382133
"211" "G011" "TR03" 50.5534596574634
"212" "G012" "TR03" 34.0130337217571
"213" "G013" "TR03" 42.2356652348511
"214" "G014" "TR03" 32.451636973592
"215" "G015" "TR03" 57.0734912465159
"216" "G016" "TR03" 24.4406370377914
"217" "G017" "TR03" 32.4132268913631
"218" "G018" "TR03" 27.041178401721
"219" "G019" "TR03" 43.6864672690503
"220" "G020" "TR03" 41.8775276704925
"221" "G021" "TR03" 50.0410214286217
"222" "G022" "TR03" 34.7027296223981
"223" "G023" "TR03" 31.2714168075043
"224" "G024" "TR03" 30.4020094636685
"225" "G025" "TR03" 26.0365599243838
"226" "G026" "TR03" 49.2453769718713
"227" "G027" "TR03" 42.8365807897558
"228" "G028" "TR03" 40.6394231257394
"229" "G029" "TR03" 37.6175831544613
"230" "G030" "TR03" 48.4492062064744
"231" "G031" "TR03" 37.5033223082627
"232" "G032" "TR03" 25.8249727029721
"233" "G033" "TR03" 36.2561351815184
"234" "G034" "TR03" 36.8875798328268
"235" "G035" "TR03" 42.4251285333211
"236" "G036" "TR03" 39.986623889481
"237" "G037" "TR03" 32.1971930797919
"238" "G038" "TR03" 40.0074514784106
"239" "G039" "TR03" 26.2486361846731
"240" "G040" "TR03" 13.5795106118079
"241" "G041" "TR03" 60.9394913591946
"242" "G042" "TR03" 20.3319935833163
"243" "G043" "TR03" 34.3359339110753
"244" "G044" "TR03" 40.0302486375746
"245" "G045" "TR03" 51.0033104267702
"246" "G046" "TR03" 31.0679325962862
"247" "G047" "TR03" 37.57151104435
"248" "G048" "TR03" 34.5136656584032
"249" "G049" "TR03" 39.5573588550982
"250" "G050" "TR03" 56.100499798092
"251" "G051" "TR03" 32.9574983177713
"252" "G052" "TR03" 46.5892717387282
"253" "G053" "TR03" 44.5812197764188
"254" "G054" "TR03" 38.0831189027338
"255" "G055" "TR03" 58.3009085688519
"256" "G056" "TR03" 46.3464784454299
"257" "G057" "TR03" 35.3373897542846
"258" "G058" "TR03" 47.6510576642375
"259" "G059" "TR03" 38.0038144161223
"260" "G060" "TR03" 37.9522560049508
"261" "G061" "TR03" 46.8776173884376
"262" "G062" "TR03" 54.0900189242374
"263" "G063" "TR03" 39.5012793236549
"264" "G064" "TR03" 42.6597411643837
"265" "G065" "TR03" 39.3206199480934
"266" "G066" "TR03" 34.2567222151293
"267" "G067" "TR03" 43.5024795672752
"268" "G068" "TR03" 35.4297300607206
"269" "G069" "TR03" 33.2651662163639
"270" "G070" "TR03" 43.1917180495416
"271" "G071" "TR03" 60.4136137213744
"272" "G072" "TR03" 36.5565971232797
"273" "G073" "TR03" 28.3982627775883
"274" "G074" "TR03" 44.4825597919237
"275" "G075" "TR03" 33.0574921981846
"276" "G076" "TR03" 22.9232680320725
"277" "G077" "TR03" 36.7429928098362
"278" "G078" "TR03" 26.530196756656
"279" "G079" "TR03" 52.1399095905125
"280" "G080" "TR03" 28.3416047304901
"281" "G081" "TR03" 41.8205652379039
"282" "G082" "TR03" 44.3975314598268
"283" "G083" "TR03" 50.3415020042846
"284" "G084" "TR03" 41.2260424730849
"285" "G085" "TR03" 40.0571366027807
"286" "G086" "TR03" 69.59200337618
"287" "G087" "TR03" 37.6134127974638
"288" "G088" "TR03" 45.8854702328785
"289" "G089" "TR03" 58.6086685519537
"290" "G090" "TR03" 32.4877878924621
"291" "G091" "TR03" 32.3567899953472
"292" "G092" "TR03" 39.7499895518689
"293" "G093" "TR03" 63.2644925238397
"294" "G094" "TR03" 30.7073841719864
"295" "G095" "TR03" 34.3070260328217
"296" "G096" "TR03" 38.078225868287
"297" "G097" "TR03" 47.12052357576
"298" "G098" "TR03" 30.4885625422142
"299" "G099" "TR03" 42.7530170458523
"300" "G100" "TR03" 38.5079106881761
"301" "G001" "TR04" 39.6774946559834
"302" "G002" "TR04" 61.8934745653872
"303" "G003" "TR04" 81.437011965294
"304" "G004" "TR04" 57.7696021210614
"305" "G005" "TR04" 74.8333726838484
"306" "G006" "TR04" 97.9032936662122
"307" "G007" "TR04" 117.084274716742
"308" "G008" "TR04" 66.15564699149
"309" "G009" "TR04" 52.1559600549819
"310" "G010" "TR04" 34.0690590542227
"311" "G011" "TR04" 78.7139083803452
"312" "G012" "TR04" 83.064833768997
"313" "G013" "TR04" 51.6567718506085
"314" "G014" "TR04" 69.1053801872024
"315" "G015" "TR04" 60.0909284146825
"316" "G016" "TR04" 62.6009797465503
"317" "G017" "TR04" 45.5807637328707
"318" "G018" "TR04" 55.5211807558141
"319" "G019" "TR04" 60.1989394998978
"320" "G020" "TR04" 42.368478324724
"321" "G021" "TR04" 63.7861452200765
"322" "G022" "TR04" 64.8926128435076
"323" "G023" "TR04" 51.4392740248406
"324" "G024" "TR04" 50.5703073693807
"325" "G025" "TR04" 85.090482438561
"326" "G026" "TR04" 59.3597753964543
"327" "G027" "TR04" 86.3106782735882
"328" "G028" "TR04" 49.9743027347431
"329" "G029" "TR04" 51.5810845560061
"330" "G030" "TR04" 38.7200878888871
"331" "G031" "TR04" 61.3290158842283
"332" "G032" "TR04" 103.104476933709
"333" "G033" "TR04" 53.0243900146886
"334" "G034" "TR04" 59.4679267202493
"335" "G035" "TR04" 68.8813346968842
"336" "G036" "TR04" 61.0356090571993
"337" "G037" "TR04" 68.2764386641779
"338" "G038" "TR04" 70.9002352761466
"339" "G039" "TR04" 48.8199087363457
"340" "G040" "TR04" 89.0676341649964
"341" "G041" "TR04" 72.8816478429649
"342" "G042" "TR04" 59.0487778837477
"343" "G043" "TR04" 65.8472353225744
"344" "G044" "TR04" 36.2275042841319
"345" "G045" "TR04" 46.5079225645621
"346" "G046" "TR04" 47.503501237238
"347" "G047" "TR04" 60.8711445090067
"348" "G048" "TR04" 44.9068561497651
"349" "G049" "TR04" 57.7720900043054
"350" "G050" "TR04" 70.3153805883882
"351" "G051" "TR04" 79.5887787455789
"352" "G052" "TR04" 51.3854300015858
"353" "G053" "TR04" 57.2627012048548
"354" "G054" "TR04" 60.5775473445248
"355" "G055" "TR04" 41.9554740768198
"356" "G056" "TR04" 57.0893520530328
"357" "G057" "TR04" 71.0353967332514
"358" "G058" "TR04" 72.9193355725661
"359" "G059" "TR04" 44.7282019861451
"360" "G060" "TR04" 88.9320375720512
"361" "G061" "TR04" 64.9332656724839
"362" "G062" "TR04" 80.2596378818553
"363" "G063" "TR04" 63.1537650655851
"364" "G064" "TR04" 50.574993131553
"365" "G065" "TR04" 29.3804724856747
"366" "G066" "TR04" 56.8426568459575
"367" "G067" "TR04" 40.3654057612848
"368" "G068" "TR04" 56.1946114214216
"369" "G069" "TR04" 73.2478746996231
"370" "G070" "TR04" 39.7032514912606
"371" "G071" "TR04" 67.2070005635591
"372" "G072" "TR04" 70.238221784801
"373" "G073" "TR04" 72.0811545038418
"374" "G074" "TR04" 36.7412906338078
"375" "G075" "TR04" 64.425264167298
"376" "G076" "TR04" 65.0041120885448
"377" "G077" "TR04" 65.0686685261961
"378" "G078" "TR04" 52.5927877674045
"379" "G079" "TR04" 66.1742668243202
"380" "G080" "TR04" 51.4098977383126
"381" "G081" "TR04" 54.5270357999088
"382" "G082" "TR04" 65.3110460287307
"383" "G083" "TR04" 40.5285480858286
"384" "G084" "TR04" 60.3349914656409
"385" "G085" "TR04" 65.6629186263588
"386" "G086" "TR04" 71.2284960136545
"387" "G087" "TR04" 46.5976656860926
"388" "G088" "TR04" 38.2939570170189
"389" "G089" "TR04" 46.0281158152292
"390" "G090" "TR04" 48.7561187477198
"391" "G091" "TR04" 81.6099885533957
"392" "G092" "TR04" 67.1355074039065
"393" "G093" "TR04" 90.2216883596724
"394" "G094" "TR04" 47.4297975182997
"395" "G095" "TR04" 54.8059301067591
"396" "G096" "TR04" 30.7080710959106
"397" "G097" "TR04" 67.7993449753506
"398" "G098" "TR04" 92.5502931135183
"399" "G099" "TR04" 45.3111053852025
"400" "G100" "TR04" 63.9371925349546
"401" "G001" "TR05" 37.4253979090167
"402" "G002" "TR05" 49.9379220919015
"403" "G003" "TR05" 68.7673497240642
"404" "G004" "TR05" 49.1710394369306
"405" "G005" "TR05" 62.7826402497684
"406" "G006" "TR05" 52.5805580812303
"407" "G007" "TR05" 41.3503567684242
"408" "G008" "TR05" 48.0499586135109
"409" "G009" "TR05" 51.9977275311661
"410" "G010" "TR05" 32.8369633341695
"411" "G011" "TR05" 45.3961675866719
"412" "G012" "TR05" 64.0384440385547
"413" "G013" "TR05" 49.0622081966357
"414" "G014" "TR05" 67.0972608695466
"415" "G015" "TR05" 39.0887757044848
"416" "G016" "TR05" 57.4091253967985
"417" "G017" "TR05" 41.68969002159
"418" "G018" "TR05" 42.6920573718234
"419" "G019" "TR05" 45.9612489994709
"420" "G020" "TR05" 44.6233849580141
"421" "G021" "TR05" 43.3342940504182
"422" "G022" "TR05" 40.3934028134112
"423" "G023" "TR05" 57.8813841994398
"424" "G024" "TR05" 37.0390877484146
"425" "G025" "TR05" 55.0961692575617
"426" "G026" "TR05" 50.8299243603642
"427" "G027" "TR05" 59.0636712454342
"428" "G028" "TR05" 45.0173295592354
"429" "G029" "TR05" 64.7357952249081
"430" "G030" "TR05" 34.9413034639239
"431" "G031" "TR05" 32.8502302003309
"432" "G032" "TR05" 42.3528863385553
"433" "G033" "TR05" 47.3913080288677
"434" "G034" "TR05" 67.1263666589913
"435" "G035" "TR05" 50.5266184111417
"436" "G036" "TR05" 46.7153759188433
"437" "G037" "TR05" 61.1374748232988
"438" "G038" "TR05" 28.4688519593068
"439" "G039" "TR05" 31.44096790215
"440" "G040" "TR05" 43.8591491107027
"441" "G041" "TR05" 82.539354113376
"442" "G042" "TR05" 50.5826330521116
"443" "G043" "TR05" 40.7429549073017
"444" "G044" "TR05" 45.6497320805071
"445" "G045" "TR05" 46.1086336321484
"446" "G046" "TR05" 53.4112421759668
"447" "G047" "TR05" 41.056323261307
"448" "G048" "TR05" 75.069091801607
"449" "G049" "TR05" 59.7080066504794
"450" "G050" "TR05" 52.2879778494444
"451" "G051" "TR05" 52.3893619571015
"452" "G052" "TR05" 52.6131799480505
"453" "G053" "TR05" 60.3597828520439
"454" "G054" "TR05" 41.0566536867902
"455" "G055" "TR05" 39.3208874355472
"456" "G056" "TR05" 43.0123648412803
"457" "G057" "TR05" 35.3751176341709
"458" "G058" "TR05" 48.8238577005452
"459" "G059" "TR05" 35.9958625572542
"460" "G060" "TR05" 47.4304458218554
"461" "G061" "TR05" 54.1019629240867
"462" "G062" "TR05" 67.6730905590556
"463" "G063" "TR05" 43.4462898819874
"464" "G064" "TR05" 49.0114197874638
"465" "G065" "TR05" 38.5487482184357
"466" "G066" "TR05" 45.8768757678463
"467" "G067" "TR05" 60.7054841137212
"468" "G068" "TR05" 50.3994639997872
"469" "G069" "TR05" 52.3495009080963
"470" "G070" "TR05" 59.6833711641076
"471" "G071" "TR05" 54.8218218030475
"472" "G072" "TR05" 55.5075433657805
"473" "G073" "TR05" 51.8218586169209
"474" "G074" "TR05" 23.8814947486922
"475" "G075" "TR05" 41.7429908478559
"476" "G076" "TR05" 46.517829257601
"477" "G077" "TR05" 35.3109533825498
"478" "G078" "TR05" 44.9126131385364
"479" "G079" "TR05" 58.486301994726
"480" "G080" "TR05" 60.5920278748257
"481" "G081" "TR05" 59.7148207220638
"482" "G082" "TR05" 63.8558061022358
"483" "G083" "TR05" 44.8278308937909
"484" "G084" "TR05" 47.4374412523401
"485" "G085" "TR05" 66.663599890016
"486" "G086" "TR05" 53.0028563554125
"487" "G087" "TR05" 76.806067637008
"488" "G088" "TR05" 48.0262066622152
"489" "G089" "TR05" 45.2989935691117
"490" "G090" "TR05" 58.4193660565525
"491" "G091" "TR05" 68.8767073701265
"492" "G092" "TR05" 51.0691096797213
"493" "G093" "TR05" 70.465076591413
"494" "G094" "TR05" 40.4554981457646
"495" "G095" "TR05" 59.342973848288
"496" "G096" "TR05" 52.434127342909
"497" "G097" "TR05" 96.9727547935663
"498" "G098" "TR05" 49.0469530044418
"499" "G099" "TR05" 36.5141377284016
"500" "G100" "TR05" 49.0952538774185
"501" "G001" "TR06" 45.5043512977183
"502" "G002" "TR06" 44.0922005972515
"503" "G003" "TR06" 32.0503118273291
"504" "G004" "TR06" 43.9759635332544
"505" "G005" "TR06" 47.7152452229608
"506" "G006" "TR06" 31.5267441482357
"507" "G007" "TR06" 30.7884817109494
"508" "G008" "TR06" 38.7085958464825
"509" "G009" "TR06" 48.643495513066
"510" "G010" "TR06" 45.5493137536003
"511" "G011" "TR06" 36.1275858677754
"512" "G012" "TR06" 33.324795852777
"513" "G013" "TR06" 23.1511590323397
"514" "G014" "TR06" 29.2062610268027
"515" "G015" "TR06" 38.840966848423
"516" "G016" "TR06" 39.2893019443049
"517" "G017" "TR06" 35.7626616758477
"518" "G018" "TR06" 34.3283732825087
"519" "G019" "TR06" 32.7526436146405
"520" "G020" "TR06" 41.50856856818
"521" "G021" "TR06" 46.6437520676196
"522" "G022" "TR06" 30.2371858861185
"523" "G023" "TR06" 47.719986044494
"524" "G024" "TR06" 33.303488133625
"525" "G025" "TR06" 40.3976530615484
"526" "G026" "TR06" 34.1342198523597
"527" "G027" "TR06" 40.3377743295872
"528" "G028" "TR06" 48.7088152211736
"529" "G029" "TR06" 44.7892525323505
"530" "G030" "TR06" 30.9044861525674
"531" "G031" "TR06" 32.0609988810797
"532" "G032" "TR06" 35.3293629118088
"533" "G033" "TR06" 26.8857100519094
"534" "G034" "TR06" 49.7768899792833
"535" "G035" "TR06" 32.0502600487396
"536" "G036" "TR06" 34.1452635816525
"537" "G037" "TR06" 42.3321354059504
"538" "G038" "TR06" 35.0379493280822
"539" "G039" "TR06" 25.4106751650487
"540" "G040" "TR06" 38.740195246788
"541" "G041" "TR06" 47.7885985848484
"542" "G042" "TR06" 46.3613313944737
"543" "G043" "TR06" 36.4077265726538
"544" "G044" "TR06" 41.9491438500991
"545" "G045" "TR06" 51.6617857063166
"546" "G046" "TR06" 37.2324277327153
"547" "G047" "TR06" 29.7257347548886
"548" "G048" "TR06" 32.4241565096075
"549" "G049" "TR06" 35.8843619198949
"550" "G050" "TR06" 46.837108128741
"551" "G051" "TR06" 48.8325457739629
"552" "G052" "TR06" 31.9587455325677
"553" "G053" "TR06" 33.6997323864077
"554" "G054" "TR06" 40.0923810145747
"555" "G055" "TR06" 41.4615034889132
"556" "G056" "TR06" 35.9738558284884
"557" "G057" "TR06" 38.9717894453718
"558" "G058" "TR06" 33.8476967889374
"559" "G059" "TR06" 37.1138961572172
"560" "G060" "TR06" 66.9849091009616
"561" "G061" "TR06" 41.6219541342073
"562" "G062" "TR06" 57.5214881350033
"563" "G063" "TR06" 40.8189260169433
"564" "G064" "TR06" 43.7539500448521
"565" "G065" "TR06" 44.7451609158381
"566" "G066" "TR06" 49.7903870404432
"567" "G067" "TR06" 32.6321576479463
"568" "G068" "TR06" 43.4729396990433
"569" "G069" "TR06" 42.1196408713768
"570" "G070" "TR06" 47.4352519407945
"571" "G071" "TR06" 60.0129857153929
"572" "G072" "TR06" 38.2367338031392
"573" "G073" "TR06" 37.3629063481126
"574" "G074" "TR06" 57.3697329607826
"575" "G075" "TR06" 43.8786948532611
"576" "G076" "TR06" 33.0351316029078
"577" "G077" "TR06" 36.7212768797088
"578" "G078" "TR06" 29.3090666410845
"579" "G079" "TR06" 44.0025648026069
"580" "G080" "TR06" 47.9478700816456
"581" "G081" "TR06" 42.5336849431154
"582" "G082" "TR06" 43.4262068288358
"583" "G083" "TR06" 57.808550497811
"584" "G084" "TR06" 54.0010019417955
"585" "G085" "TR06" 27.8738668118423
"586" "G086" "TR06" 44.336900123984
"587" "G087" "TR06" 43.5689276395706
"588" "G088" "TR06" 44.3263201061005
"589" "G089" "TR06" 42.2080533889833
"590" "G090" "TR06" 29.4636393382304
"591" "G091" "TR06" 29.2170695474741
"592" "G092" "TR06" 47.2946231595902
"593" "G093" "TR06" 44.217233842478
"594" "G094" "TR06" 45.6623434701305
"595" "G095" "TR06" 42.5997448409849
"596" "G096" "TR06" 40.4030667800206
"597" "G097" "TR06" 45.8138346239969
"598" "G098" "TR06" 21.0476311778918
"599" "G099" "TR06" 51.6069103583957
"600" "G100" "TR06" 52.1756434251015
"601" "G001" "TR07" 46.6919471866018
"602" "G002" "TR07" 53.5664755028946
"603" "G003" "TR07" 36.3002144691725
"604" "G004" "TR07" 28.7444980310395
"605" "G005" "TR07" 43.3737620731198
"606" "G006" "TR07" 50.4439659040795
"607" "G007" "TR07" 50.5352751176747
"608" "G008" "TR07" 39.2681069186438
"609" "G009" "TR07" 50.3225744965894
"610" "G010" "TR07" 42.9640963975737
"611" "G011" "TR07" 48.4761801076302
"612" "G012" "TR07" 33.9617543317755
"613" "G013" "TR07" 49.4161945359309
"614" "G014" "TR07" 76.9619750197106
"615" "G015" "TR07" 45.3248356204914
"616" "G016" "TR07" 63.7165862208734
"617" "G017" "TR07" 44.5784216480149
"618" "G018" "TR07" 45.1273245467149
"619" "G019" "TR07" 39.8655874016331
"620" "G020" "TR07" 43.1132745191756
"621" "G021" "TR07" 47.0247649659251
"622" "G022" "TR07" 44.6914849896357
"623" "G023" "TR07" 53.5691370207488
"624" "G024" "TR07" 35.3346164380639
"625" "G025" "TR07" 59.3763514372135
"626" "G026" "TR07" 39.8248631234334
"627" "G027" "TR07" 48.6429221157366
"628" "G028" "TR07" 40.9658668937186
"629" "G029" "TR07" 60.7238184251284
"630" "G030" "TR07" 39.7129608319161
"631" "G031" "TR07" 45.716499229642
"632" "G032" "TR07" 45.0141806408521
"633" "G033" "TR07" 57.1866687086599
"634" "G034" "TR07" 41.2762442713346
"635" "G035" "TR07" 49.1100188155419
"636" "G036" "TR07" 43.8237266685909
"637" "G037" "TR07" 40.2778284823835
"638" "G038" "TR07" 48.6430609479008
"639" "G039" "TR07" 43.5116038285871
"640" "G040" "TR07" 40.7779173987859
"641" "G041" "TR07" 63.4369933349057
"642" "G042" "TR07" 49.6201243798721
"643" "G043" "TR07" 59.4635302192782
"644" "G044" "TR07" 28.6332964661938
"645" "G045" "TR07" 63.8148460701885
"646" "G046" "TR07" 48.7004345409844
"647" "G047" "TR07" 39.5813614191995
"648" "G048" "TR07" 40.0503618082264
"649" "G049" "TR07" 42.5791932576481
"650" "G050" "TR07" 74.9546707368612
"651" "G051" "TR07" 39.0530359796894
"652" "G052" "TR07" 54.75658060981
"653" "G053" "TR07" 57.9660218664014
"654" "G054" "TR07" 38.9999191550493
"655" "G055" "TR07" 38.9289557050812
"656" "G056" "TR07" 52.9492042299227
"657" "G057" "TR07" 55.799927003505
"658" "G058" "TR07" 51.9765787321208
"659" "G059" "TR07" 51.5952955289368
"660" "G060" "TR07" 42.6092347306351
"661" "G061" "TR07" 70.8986117421743
"662" "G062" "TR07" 77.9318510642498
"663" "G063" "TR07" 67.1513718488037
"664" "G064" "TR07" 43.92876599169
"665" "G065" "TR07" 43.5547070071562
"666" "G066" "TR07" 52.5384078172181
"667" "G067" "TR07" 61.6149310496543
"668" "G068" "TR07" 54.8503140260865
